"product-card__thumbnail href","product-card__background src","text-12-medium","text-12-book","product-card__image src","text-18-medium","ellipsis","ellipsis 2","ellipsis 3","ellipsis 4","product-card__footer src","quick-add-button__add","quick-add-button__select","product-price__prices","text-14-medium","quick-add__variant","quick-add__price","quick-add__variant 2","quick-add__price 2","quick-add__variant 3","quick-add__price 3","quick-add__variant 4","quick-add__price 4","quick-add__variant 5","quick-add__price 5","tablescraper-selected-row","quick-add__variant 6","quick-add__price 6","text-body-small"
"https://watchhouse.com/products/watch-house-pin","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Bermondsey_Born_Pin.png?v=1777359821&width=660","Bermondsey Born Pin.","","","","","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£5.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/discovery-bundle","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Discovery_Set.png?v=1777359827&width=660","Discovery Set.","Range.","Rituals, Ventures, Horizons","Origins.","Colombia, Ethiopia","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£42.00","Select Grind.","Whole Bean","£42.00","Pour Over","£42.00","French Press","£42.00","Aeropress","£42.00","Espresso","£42.00",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/horizons-filter","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/FaustinoFlores.png?v=1778250000&width=660","Faustino Flores.","Notes.","Blueberry, Green Apple, Milk Chocolate","Origin.","Peru","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select grind.","£16.00","Select grind.","Whole Bean","£16.00","French Press","£16.00","Aeropress","£16.00","Pour Over (V60 | Chemex)","£16.00","Espresso","£16.00",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£16.00",""
"https://watchhouse.com/products/fellow-atmos-canister","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Fellow_Atmos_Canister.png?v=1777359829&width=660","Fellow Atmos Canister.","Colour.","Matte Black","Lid.","Manual","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£45.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/fellow-clara-french-press","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Fellow_Clara_French_Press.png?v=1777359829&width=660","Fellow Clara French Press.","Colour.","Matte Black","Capacity.","24 oz","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£100.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/rituals-filter","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/GregorioEspinozaObata.png?v=1778250706&width=660","Gregorio Espinoza Red Obata.","Notes.","Dark Chocolate, Raspberry, Caramel","Origin.","Peru","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£12.00","Select Grind.","Whole Bean","£12.00","French Press","£12.00","Aeropress","£12.00","Pour Over (v60 | Chemex)","£12.00","Espresso","£12.00",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£12.00",""
"https://watchhouse.com/products/horizons-1kg-set","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Horizons_1kg_Set.png?v=1777359829&width=660","Horizons 1kg Set.","Range.","Horizons","Origins.","Varies","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£75.00","Select Grind.","Whole Bean","£75.00","French Press","£75.00","Aeropress","£75.00","Pour Over","£75.00","Espresso","£75.00",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£75.00",""
"https://watchhouse.com/products/horizons-pods","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Horizons_coffee_pods.png?v=1777359827&width=660","Horizons Pods.","Tasting Notes.","Purple Grape, Wine Gums, Tropical","Origin.","China","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Size.","£24.00","Select Size.","30","£24.00","60","£48.00","90","£72.00","120","£96.00","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
"https://watchhouse.com/products/horizons-subscription","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Horizons_Subscription.png?v=1777359827&width=660","Horizons Subscription.","Origin.","Various","Notes.","Seasonal","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£14.40","Select Grind.","Whole Bean","£14.40","French Press","£14.40","Aeropress","£14.40","Pour Over (V60 | Chemex)","£14.40","Espresso","£14.40",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£14.40",""
"https://watchhouse.com/products/kinto-server","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Kinto_Coffee_Server.png?v=1777359828&width=660","Kinto Coffee Server.","Feature.","Heat-resistant glass","Capacity.","300ml","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£18.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/kinto-travel-tumbler","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Kinto_Tumbler.png?v=1777359827&width=660","Kinto Travel Tumbler.","Capacity.","360ml / 12oz","Weight.","281g","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£35.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/miruku-matcha-watchhouse-x-monoware-mug","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Miruku_Matcha_x_Monoware_Mug.png?v=1777359827&width=660","Miruku Matcha & WatchHouse x Monoware Mug","Tasting notes.","Salted Caramel, Green Bean, Elderflower","Origin.","Uji, Kyoto, Japan","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£64.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/miruku-matcha","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Miruku_Matcha.png?v=1777359826&width=660","Miruku Matcha.","Tasting notes.","Salted Caramel, Green Bean, Elderflower","Origin.","Uji, Kyoto, Japan","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£55.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/mizu-matcha-watchhouse-x-monoware-mug","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Mizu_Matcha_x_Monoware_Mug.png?v=1777359827&width=660","Mizu Matcha & WatchHouse x Monoware Mug.","Tasting Notes.","Roasted Chestnut, Rich Umami, Sweet Kombu","Origin.","Kyoto, Japan","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£48.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/mizu-matcha","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Miza_Matcha.png?v=1777359824&width=660","Mizu Matcha.","Tasting notes.","Roasted Chestnut, Rich Umami, Sweet Kombu","Origin.","Kyoto, Japan","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£27.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/nitro-cold-brew","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Nitro_Cold_Brew.png?v=1777359829&width=660","Nitro Cold Brew.","Tasting notes.","Floral, Pear, Raspberry","Origin.","Ethiopia","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£20.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/orea-v4-brewer-x-sibarist-wave-papers","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Sibarist_x_Orea_V4.png?v=1777359827&width=660","Orea V4 Brewer x Sibarist Wave Papers.","Brew type.","Pour over","Model.","V4","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Filter papers..","£70.00","Select Filter papers..","25 pack","£70.00","100 pack","£88.00","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
"https://watchhouse.com/products/paramo-decaf","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Espresso","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Rituals_Susbcription.png?v=1777359827&width=660","Páramo Decaf.","Tasting notes.","Caramel, Yellow Apple, Green Grape","Origin.","Colombia","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select grind.","£12.00","Select grind.","Whole bean","£12.00","French press","£12.00","Aeropress","£12.00","Pour over (V60 | Chemex)","£12.00","Moka Pot","£12.00",".product-card {
      --overlay-text-color: #000000;
    }","Espresso","£12.00",""
"https://watchhouse.com/products/pods-mixed","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Pods_Mixed_Set.png?v=1777359831&width=660","Pods | Mixed Set","Compatibility.","Nespresso®","Included.","10 Rituals, Ventures and Horizons pods","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Size.","£21.00","Select Size.","30","£21.00","60","£42.00","90","£63.00","120","£84.00","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
"https://watchhouse.com/products/rituals-1kg-set","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Rituals_1kg_Set.png?v=1777359829&width=660","Rituals 1kg Set.","Range.","Rituals","Origins.","Varies","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£60.00","Select Grind.","Whole Bean","£60.00","Pour Over","£60.00","French Press","£60.00","Aeropress","£60.00","Espresso","£60.00",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"","","","","","Tools for the trade.","","","","","","","","","","","","","","","","","","","","","","",""
