"product-card__thumbnail href","product-card__background src","text-12-medium","text-12-book","product-card__image src","text-18-medium","ellipsis","ellipsis 2","ellipsis 3","ellipsis 4","product-card__footer src","quick-add-button__add","quick-add-button__select","product-price__prices","text-14-medium","quick-add__variant","quick-add__price","quick-add__variant 2","quick-add__price 2","quick-add__variant 3","quick-add__price 3","quick-add__variant 4","quick-add__price 4","quick-add__variant 5","quick-add__price 5","tablescraper-selected-row","quick-add__variant 6","quick-add__price 6","text-body-small"
"https://watchhouse.com/products/travellers-box","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Travellers_Set.png?v=1777359829&width=660","Traveller's Set.","Coffee Maker.","AeroPress","Travel Tumbler.","Kinto","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£60.00","Select Grind.","Whole bean","£60.00","Aeropress","£60.00","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/single-origin-espresso","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Espresso","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Single_Origin_Turihamwe.png?v=1777359827&width=660","Turihamwe.","Notes.","Honey, Peach, Darjeeling Tea","Origin.","Burundi","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£12.00","Select Grind.","Whole Bean","£12.00","French Press","£12.00","Aeropress","£12.00","Pour Over (v60 | Chemex)","£12.00","Espresso","£12.00",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£12.00",""
"https://watchhouse.com/products/v60-filter-papers","https://watchhouse.com/cdn/shop/files/WH_Product_Background.jpg?v=1775070812&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-V60_filter_papers.png?v=1777359829&width=660","V60 Filter Papers.","","","","","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£7.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/ventures-1kg-set","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Ventures_1kg_Set.png?v=1777359829&width=660","Ventures 1kg Set.","Range.","Ventures","Origins.","Varies","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£65.00","Select Grind.","Whole Bean","£65.00","French Press","£65.00","Aeropress","£65.00","Pour Over","£65.00","Espresso","£65.00",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£65.00",""
"https://watchhouse.com/products/ventures-pods","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Ventures_coffee_pods.png?v=1777359827&width=660","Ventures Pods.","Tasting Notes.","Strawberry, Nectarine, Floral","Origin.","Ethiopia","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Size.","£21.00","Select Size.","30","£21.00","60","£42.00","90","£63.00","120","£84.00","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
"https://watchhouse.com/products/ventures-subscription","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Ventures_Subscription.png?v=1777359827&width=660","Ventures Subscription.","Origin.","Various","Notes.","Seasonal","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£12.60","Select Grind.","Whole Bean","£12.60","French Press","£12.60","Aeropress","£12.60","Pour Over (V60 | Chemex)","£12.60","Espresso","£12.60",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£12.60",""
"https://watchhouse.com/products/limited-edition-grinder","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Comandante.png?v=1777359828&width=660","WatchHouse Comandante C40 MK4 Grinder.","Burrs.","Nitrogen steel","Body.","Liquid Amber oak","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£260.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/watchhouse-cupping-spoon","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Cupping_Spoon.png?v=1777359825&width=660","WatchHouse Cupping Spoon.","Crafted by.","W. Wright","Material.","Silver plated","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£12.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/watchhouse-x-jamison-savage","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/WH_Events_LCF2026_Ecom_ClearCut.png?v=1778673933&width=660","WatchHouse x Jamison Savage.","Origin.","Panama","Region.","Chiriqurí","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£39.00","Select Grind.","Whole Bean","£39.00","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/watchhouse-x-monoware-mug","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Monoware_Mug.png?v=1777359826&width=660","WatchHouse x Monoware Mug.","Designed with.","Ian McIntyre","Material.","Matt glazed stoneware","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£22.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/watchhouse-x-orea-v4-brewer","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Orea_V4_Brewer.png?v=1777359826&width=660","WatchHouse x Orea V4 Brewer.","Brew type.","Pour over","Model.","V4","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£55.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/ventures-filter","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Filter","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Ventures_Filter_Xiengkhuang_3f3a6e02-2d9e-49c2-aa85-236f9046a8a2.png?v=1778078652&width=660","Xiengkhuang.","Tasting notes.","Plum, Cherry, Mandarin","Origin.","Laos","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£14.00","Select Grind.","Whole bean","£14.00","French press","£14.00","AeroPress","£14.00","Pour over (v60 | Chemex)","£14.00","Espresso","£14.00",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£14.00",""
